Automatgevär 5 Extended Magazine,3359963809,3359963809,3359963809,3359963809,3359963809
Automatgevär 4 Extended Magazine,3359963809,3359963809,3359963809,3359963809,3359963809
AI-76 Extended Magazine,1727569198,3690786906,2145410535,1408373939,108980312
Möller PP Extended Magazine,3520895500,588534837,2059699339,3842517818,735055802
Klaucke 17 Extended Magazine,2790621325,256441433,4291300249,1302591039,3307898268
Kvm 89 Extended Magazine,1521622499,2688710235,412216527,2285898363,2652884748
Kvm 59 Extended Magazine,1723863243,3535641319,1328577583,1558147013,1315987554
HP5 Extended Magazine,4127861852,1473708964,2039690065,2047704924,2882330472
M/46 Kpist SMG Extended Magazine,2587787037,845205168,3051714782,2511792803,3877920587
Pansarvärnsgevär 90 Extended Magazine,3819765588,504089909,1172249816,1710715268,3216241599
Shotgun Muzzle Choke,661478348,1121036281,4167861087,725994668,3973781034
Handgun Muzzle Compensator,1773807463,103343521,2422114864,3261449092,140689257
Machine Gun Muzzle Compensator,3738664552,2355766144,1703630565,3588892246,1186635998
SMG Muzzle Compensator,1032498755,3712752078,1726940210,2431640862,3344407277
Assault Rifle Muzzle Extension,587104070,2429644031,4171889764,2250093741,1013433832
Handgun Muzzle Extension,1473051248,2276455314,191129363,2039377473,1308830765
Hunting Rifle Muzzle Extension,133164932,2268220014,2900898779,1326700225,1676793802
SMG Muzzle Extension,1539705613,4132274475,1601682584,941533127,1987014809
Assault Rifle Muzzle Silencer,1174380951,3339253005,628819227,2100784956,4174319997
Hangun Muzzle Silencer,3056226729,3802202362,3306010992,3575698205,4181974023
Hunting Rifle Muzzle Silencer,1911085383,2928624145,1962372788,778908383,3726716970
Machine Gun Muzzle Silencer,2711568351,2862110650,3175650646,1287419868,2185179540
Shotgun Muzzle Silencer,2895205184,2819613574,2418538471,1505768670,3510530468
SMG Muzzle Silencer,120673529,2633412628,709419540,1894606298,1200175545
Handgun Scope 2-4x,462579406,864419793,938142268,836572797,3822827932
Shotgun Scope 1-4x,1372073399,324519511,1620807514,1982043694,1710324475
Rifle ACOG 2x,2960875245,1134044938,3605566548,2877342718,4171732014
Rifle Red Dot,2760084817,2996208927,3247439254,747612399,4057404531
Rifle Scope 1-4x,4167416740,70191706,3140826100,2832623018,4008787790
Rifle Scope 4-8x,2615420094,817882686,3612905977,1151717115,1107789652
Rifle Scope 6-12x,1909829517,1486698878,3985141390,3113754860,1935175028
Rifle Scope 8-16x,3065093700,3120199598,2460526742,2117485177,2139215127
Module Infrared,3219589971,,,,
Module X-Ray / Night Vision / Infrared,1524218344,,,,
Module Night Vision / Infrared,3912629024,,,,
Module X-Ray / Infrared / X-Ray,342766485,,,,
Module Night Vision,3311094823,,,,
Module X-Ray / Night Vision,1399608134,,,,
Module X-Ray,541519494,,,,
